,periodo,primary_key
55,2017-07,55
54,2017-08,54
53,2017-09,53
52,2017-10,52
51,2017-11,51
50,2017-12,50
49,2018-01,49
48,2018-02,48
47,2018-03,47
46,2018-04,46
45,2018-05,45
44,2018-06,44
43,2018-07,43
42,2018-08,42
41,2018-09,41
40,2018-10,40
39,2018-11,39
38,2018-12,38
37,2019-01,37
36,2019-02,36
35,2019-03,35
34,2019-04,34
33,2019-05,33
32,2019-06,32
31,2019-07,31
30,2019-08,30
29,2019-09,29
28,2019-10,28
27,2019-11,27
26,2019-12,26
25,2020-01,25
24,2020-02,24
23,2020-03,23
22,2020-04,22
21,2020-05,21
20,2020-06,20
19,2020-07,19
18,2020-08,18
17,2020-09,17
16,2020-10,16
15,2020-11,15
14,2020-12,14
13,2021-01,13
12,2021-02,12
11,2021-03,11
10,2021-04,10
9,2021-05,9
8,2021-06,8
7,2021-07,7
6,2021-08,6
5,2021-09,5
4,2021-10,4
3,2021-11,3
2,2021-12,2
1,2022-01,1
